date,holiday_name,holiday,shutdown,mini_shutdown,warehouse_limited,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,warehouse,orders
2022-03-09,none,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1,8124.0
2019-07-03,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-05-18,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-11-09,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8378.0
2023-08-02,none,0,0,0,0,0,0,0,0,0.0,0,2.5,0.0,Prague_1,7699.0
2023-09-23,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9103.0
2021-10-01,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8458.0
2023-01-30,none,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1,9388.0
2023-02-04,none,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1,8724.0
2022-10-22,none,0,0,0,0,0,0,0,0,1.0,0,3.7,0.0,Prague_1,8293.0
2023-08-01,none,0,0,0,0,0,0,0,0,0.0,0,0.7,0.0,Prague_1,7711.0
2021-01-06,none,0,0,0,0,0,0,0,0,0.0,0,0.5,2.0,Prague_1,7422.0
2020-06-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-10-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-03-13,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2024-01-12,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,12054.0
2020-08-15,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-06-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-05-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8275.0
2022-12-14,none,0,0,0,0,0,0,0,0,1.0,0,1.9,4.0,Prague_1,9190.0
2023-03-16,none,0,0,0,0,0,0,0,0,1.0,0,0.0,1.0,Prague_1,8791.0
2020-08-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-04-10,Good Friday,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-07-08,none,0,0,0,0,0,0,0,0,0.0,0,30.1,0.0,Prague_1,6229.0
2023-02-03,none,0,0,0,0,0,0,0,0,1.0,0,6.0,0.0,Prague_1,10448.0
2019-07-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-07-19,none,0,0,0,0,0,0,0,0,0.0,0,0.6,0.0,Prague_1,7766.0
2019-01-05,none,0,0,0,0,0,0,0,0,0.0,0,0.5,1.0,Prague_1,-1.0
2019-03-06,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-09-23,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9006.0
2020-04-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-06-29,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-11-20,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-02-27,none,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1,-1.0
2021-11-26,none,0,0,0,0,0,0,0,0,0.0,0,1.1,0.0,Prague_1,10519.0
2019-11-20,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-07-01,none,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1,6728.0
2022-02-24,none,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1,8533.0
2023-05-19,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,10140.0
2023-04-03,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,8341.0
2023-04-26,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,8196.0
2023-09-12,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8959.0
2022-09-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8918.0
2022-01-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9022.0
2021-10-13,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8478.0
2022-08-13,none,0,0,0,0,0,0,0,0,0.0,0,0.84,0.0,Prague_1,7130.0
2021-06-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7226.0
2022-02-11,none,0,0,0,0,0,1,0,0,0.0,0,0.2,0.0,Prague_1,10658.0
2022-12-12,none,0,0,0,0,0,0,0,0,1.0,0,1.5,4.0,Prague_1,9366.0
2023-01-29,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,9386.0
2023-10-01,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8982.0
2022-11-20,none,0,0,0,0,0,0,0,0,1.0,0,0.4,1.0,Prague_1,8803.0
2022-08-22,none,0,0,0,0,0,0,0,0,0.0,0,11.4,0.0,Prague_1,8104.0
2019-04-22,Easter Monday,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-07-04,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,5689.0
2020-02-25,none,0,0,0,0,0,0,0,0,0.0,0,1.1,0.0,Prague_1,-1.0
2022-04-02,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8554.0
2021-04-19,none,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1,7962.0
2020-07-22,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-02-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-10-01,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-12-08,none,0,0,0,0,0,0,0,0,0.0,0,0.8,0.0,Prague_1,6550.0
2021-12-02,none,0,0,0,0,0,0,0,0,0.0,0,0.7,0.0,Prague_1,9679.0
2021-04-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8124.0
2019-07-29,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-11-26,none,0,0,0,0,0,0,0,0,0.0,0,1.4,2.0,Prague_1,10004.0
2022-05-18,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8098.0
2019-03-30,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-03-31,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-07-09,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-02-22,none,0,0,0,0,0,1,0,0,0.0,0,0.25,0.0,Prague_1,8436.0
2019-04-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-02-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8510.0
2019-10-19,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-07-31,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7213.0
2020-06-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-11-23,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9580.0
2023-10-21,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8914.0
2021-03-03,none,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1,7718.0
2021-03-01,none,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1,6888.0
2019-08-31,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-09-04,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,6538.0
2023-03-06,none,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1,8918.0
2023-05-20,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,8437.0
2020-01-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-01-15,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-07-14,none,0,0,0,0,0,0,0,0,0.0,0,2.9,0.0,Prague_1,-1.0
2020-02-15,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-12-13,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,6844.0
2023-04-17,none,0,0,0,0,0,0,0,0,1.0,0,0.5,0.0,Prague_1,8692.0
2023-05-16,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,8413.0
2023-02-06,none,0,0,0,0,0,1,0,0,1.0,0,0.0,0.0,Prague_1,8623.0
2020-12-25,1st Christmas Day,1,0,0,0,1,0,0,0,0.0,0,0.4,0.0,Prague_1,-1.0
2020-07-05,Cyrila a Metodej,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-05-02,none,0,0,0,0,0,0,0,0,0.0,0,0.9,0.0,Prague_1,-1.0
2021-04-04,none,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7664.0
2022-05-07,none,0,0,0,0,0,0,0,0,0.0,0,0.78,0.0,Prague_1,8089.0
2019-06-06,none,0,0,0,0,0,0,0,0,0.0,0,15.6,0.0,Prague_1,-1.0
2023-12-05,none,0,0,0,0,0,0,0,0,0.0,0,0.6,12.0,Prague_1,11005.0
2022-11-04,none,0,0,0,0,0,0,0,0,1.0,0,21.1,0.0,Prague_1,9763.0
2023-06-05,none,0,0,0,0,0,0,0,0,1.0,0,14.6,0.0,Prague_1,8954.0
2021-02-17,none,0,0,0,0,0,0,0,0,0.0,0,2.0,6.0,Prague_1,8150.0
2020-04-19,none,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1,-1.0
2019-11-27,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-11-05,none,0,0,0,0,0,0,0,0,0.0,0,1.5,0.0,Prague_1,9690.0
2020-09-22,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-01-30,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-07-20,none,0,0,0,0,0,0,0,0,0.0,0,0.4,0.0,Prague_1,-1.0
2020-03-19,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-05-20,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-01-26,none,0,0,0,0,0,0,0,0,0.0,0,0.4,1.0,Prague_1,-1.0
2020-04-03,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-08-22,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8360.0
2019-10-24,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-07-01,none,0,0,0,0,0,0,0,0,0.0,0,0.1,0.0,Prague_1,-1.0
2021-05-28,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8365.0
2020-09-20,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-03-02,none,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1,-1.0
2023-08-07,none,0,0,0,0,0,0,0,0,0.0,0,2.7,0.0,Prague_1,8455.0
2022-04-06,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8364.0
2021-03-18,none,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,Prague_1,8560.0
2022-01-24,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9288.0
2019-06-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-04-21,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-11-08,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-02-06,none,0,0,0,0,0,0,0,0,0.0,0,3.6,3.0,Prague_1,7740.0
2020-07-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-06-18,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7590.0
2022-03-20,none,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1,8838.0
2023-10-04,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8442.0
2021-06-03,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7446.0
2022-01-27,none,0,0,0,0,0,0,0,0,0.0,0,0.35,0.0,Prague_1,9824.0
2019-07-24,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-02-28,none,0,0,0,0,0,0,0,0,0.0,0,0.8,0.0,Prague_1,-1.0
2024-01-24,none,0,0,0,0,0,0,0,0,0.0,0,2.3,0.0,Prague_1,9818.0
2022-03-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8056.0
2023-11-25,none,0,0,0,0,0,0,0,0,0.0,0,1.6,0.0,Prague_1,10120.0
2024-01-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9799.0
2020-09-18,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-11-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-10-30,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9210.0
2021-05-30,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,6649.0
2021-05-08,Den osvobozeni,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1,8215.0
2024-02-05,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9860.0
2020-08-27,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-08-31,none,0,0,0,0,0,0,0,0,0.0,0,1.6,0.0,Prague_1,-1.0
2021-09-01,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7352.0
2020-09-05,none,0,0,0,0,0,0,0,0,0.0,0,3.6,0.0,Prague_1,-1.0
2019-09-02,none,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1,-1.0
2020-08-25,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-12-22,none,0,0,0,0,0,0,0,0,0.0,0,3.1,0.0,Prague_1,8875.0
2023-06-19,none,0,0,0,0,0,0,0,0,1.0,0,0.3,0.0,Prague_1,8788.0
2022-11-07,none,0,0,0,0,0,0,0,0,1.0,0,0.2,0.0,Prague_1,8432.0
2022-11-30,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,8659.0
2021-09-17,none,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1,7944.0
2020-05-12,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-07-10,none,0,0,0,0,0,0,0,0,0.0,0,0.4,0.0,Prague_1,-1.0
2020-07-17,none,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1,-1.0
2022-09-11,none,0,0,0,0,0,0,0,0,0.0,0,2.0,0.0,Prague_1,8436.0
2019-09-13,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-05-13,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9295.0
2019-11-10,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-08-17,none,0,0,0,0,0,0,0,0,0.0,0,3.3,0.0,Prague_1,-1.0
2023-10-10,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9058.0
2020-12-12,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7165.0
2023-10-12,none,0,0,0,0,0,0,0,0,0.0,0,1.4,0.0,Prague_1,9174.0
2020-07-14,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-03-16,none,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,Prague_1,-1.0
2020-04-15,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-01-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8368.0
2024-01-10,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9800.0
2022-09-17,none,0,0,0,0,0,0,0,0,0.0,0,1.6,0.0,Prague_1,8323.0
2024-01-14,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,10636.0
2020-09-15,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-09-16,none,0,0,0,0,0,0,0,0,0.0,0,1.2,0.0,Prague_1,-1.0
2021-04-17,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8244.0
2019-10-10,none,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1,-1.0
2020-02-14,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-10-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2019-08-14,none,0,0,0,0,0,0,0,0,0.0,0,4.2,0.0,Prague_1,-1.0
2020-04-17,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-10-08,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8804.0
2023-09-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8594.0
2022-03-15,none,0,0,0,0,0,1,0,0,0.0,0,3.22,0.0,Prague_1,8389.0
2022-03-13,none,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,Prague_1,8470.0
2024-01-16,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9882.0
2019-05-15,none,0,0,0,0,0,0,0,0,0.0,0,2.6,0.0,Prague_1,-1.0
2019-06-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2020-12-11,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7790.0
2019-12-17,none,0,1,0,1,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-01-17,none,0,0,0,0,0,0,0,0,1.0,0,0.1,0.0,Prague_1,8376.0
2022-10-15,none,0,0,0,0,0,0,0,0,1.0,0,4.0,0.0,Prague_1,8598.0
2023-06-11,none,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,Prague_1,8564.0
2021-01-01,New Years Day,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1,3754.0
2022-04-16,none,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,6775.0
2022-07-06,Jan Hus,1,0,0,0,0,0,0,0,0.0,0,1.43,0.0,Prague_1,6433.0
2020-04-13,Easter Monday,1,0,0,0,1,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-04-10,Easter Monday,1,0,0,0,1,0,0,0,1.0,0,0.0,0.0,Prague_1,7776.0
2020-04-30,none,0,0,0,0,0,0,0,0,0.0,0,2.2,0.0,Prague_1,-1.0
2021-12-24,Christmas Eve,1,0,0,0,0,0,0,0,0.0,0,2.6,0.0,Prague_1,5176.0
2019-01-02,none,0,0,0,0,0,0,0,0,0.0,0,0.6,0.0,Prague_1,-1.0
2024-02-08,none,0,0,0,0,0,0,0,0,0.0,0,7.3,1.0,Prague_1,10381.0
2020-05-23,none,0,0,0,0,0,0,0,0,0.0,0,5.5,0.0,Prague_1,-1.0
2020-03-03,none,0,0,0,0,0,0,0,0,0.0,0,8.5,0.0,Prague_1,-1.0
2020-07-02,none,0,0,0,0,0,0,0,0,0.0,0,10.0,0.0,Prague_1,-1.0
2021-02-04,none,0,0,0,0,0,0,0,0,0.0,0,6.1,0.0,Prague_1,7876.0
2021-08-01,none,0,0,0,0,0,0,0,0,0.0,0,19.2,0.0,Prague_1,6494.0
2021-11-04,none,0,0,0,0,0,0,0,0,0.0,0,7.0,0.0,Prague_1,8689.0
2023-12-01,none,0,0,0,0,0,0,0,0,0.0,0,9.6,4.0,Prague_1,11558.0
2023-03-30,none,0,0,0,0,0,0,0,0,1.0,0,14.4,0.0,Prague_1,8868.0
2022-06-13,none,0,0,0,0,0,0,0,0,0.0,0,5.75,0.0,Prague_1,8854.0
2022-09-14,none,0,0,0,0,0,0,0,0,0.0,0,9.3,0.0,Prague_1,8491.0
2019-11-12,none,0,0,0,0,0,0,0,0,0.0,0,10.3,0.0,Prague_1,-1.0
2021-11-01,none,0,0,0,0,0,0,0,0,0.0,0,10.0,0.0,Prague_1,8800.0
2021-01-31,none,0,0,0,0,0,0,0,0,0.0,0,1.0,1.0,Prague_1,7134.0
2024-01-28,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,10258.0
2022-07-22,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8132.0
2020-12-02,none,0,0,0,0,0,0,0,0,0.0,0,0.3,0.0,Prague_1,-1.0
2023-07-31,none,0,0,0,0,0,0,0,0,0.0,0,,,Prague_1,8222.0
2021-02-18,none,0,0,0,0,0,0,0,0,0.0,0,0.3,2.0,Prague_1,7603.0
2022-08-03,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7532.0
2020-07-29,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2023-08-18,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8814.0
2023-08-21,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8986.0
2022-05-06,none,0,0,0,0,0,0,0,0,0.0,0,0.25,0.0,Prague_1,9300.0
2023-10-09,none,0,0,0,0,0,0,0,0,0.0,0,5.0,0.0,Prague_1,9534.0
2021-08-04,none,0,0,0,0,0,0,0,0,0.0,0,3.2,0.0,Prague_1,6440.0
2019-12-03,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2021-01-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,3.0,Prague_1,7735.0
2022-08-09,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,7372.0
2021-03-22,none,0,0,0,0,0,0,0,0,0.0,0,1.5,0.0,Prague_1,8263.0
2019-06-30,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,-1.0
2022-02-04,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,10411.0
2022-09-26,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,8644.0
2021-10-22,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9186.0
2023-11-22,none,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,Prague_1,9324.0
2021-10-21,none,0,0,0,0,0,0,0,0,0.0,0,0.5,0.0,Prague_1,8509.0
